カテゴリー,分類群,vernacularName,学名,id,language,locality,countryCode,source,lexicon,contributor,created,taxonID,identifier,parentNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,modified,scientificName,taxonRank,references
絶滅（EX）,維管束植物,ミドリシャクジョウ,Burmannia coelestris,425533,ja,Japan,JP,"",Japanese,Yoshimasa Uchiyama,2021-02-07T12:24:35Z,https://www.inaturalist.org/taxa/425533,https://www.inaturalist.org/taxa/425533,https://www.inaturalist.org/taxa/62413,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Burmannia,coelestis,"",2021-02-07T12:36:17Z,Burmannia coelestis,species,http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9738057
絶滅（EX）,維管束植物,キリシマタヌキノショクダイ,Thismia tuberculata,429685,ja,Japan,JP,"Yonekura, K., & Kajita, T. (2003). BG Plants Wamei-Gakumei Index. (http://ylist.info/index.html)",Japanese,Ken-ichi Ueda,2020-06-16T00:27:44Z,https://www.inaturalist.org/taxa/429685,https://www.inaturalist.org/taxa/429685,https://www.inaturalist.org/taxa/62466,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Burmanniaceae,Thismia,tuberculata,"",2019-02-15T06:38:30Z,Thismia tuberculata,species,http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9754590
絶滅（EX）,維管束植物,タカノホシクサ,Eriocaulon cauliferum,,,,,,,,,,,,,,,,,,,,,,,
絶滅（EX）,維管束植物,タチガヤツリ,Cyperus diaphanus,,,,,,,,,,,,,,,,,,,,,,,
絶滅（EX）,維管束植物,ホクトガヤツリ,Cyperus procerus,370181,ja,Japan,JP,"Yonekura, K., & Kajita, T. (2003). BG Plants Wamei-Gakumei Index. (http://ylist.info/index.html)",Japanese,Ken-ichi Ueda,2020-06-16T01:04:21Z,https://www.inaturalist.org/taxa/370181,https://www.inaturalist.org/taxa/370181,https://www.inaturalist.org/taxa/52734,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus,procerus,"",2019-02-12T20:22:05Z,Cyperus procerus,species,http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9742893
絶滅（EX）,維管束植物,チャイロテンツキ,Fimbristylis leptoclada var. takamineana,,,,,,,,,,,,,,,,,,,,,,,
絶滅（EX）,維管束植物,イシガキイトテンツキ,Fimbristylis pauciflora,427672,ja,Japan,JP,"Yonekura, K., & Kajita, T. (2003). BG Plants Wamei-Gakumei Index. (http://ylist.info/index.html)",Japanese,Ken-ichi Ueda,2020-06-16T00:09:56Z,https://www.inaturalist.org/taxa/427672,https://www.inaturalist.org/taxa/427672,https://www.inaturalist.org/taxa/72136,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Fimbristylis,pauciflora,"",2019-02-12T20:45:05Z,Fimbristylis pauciflora,species,http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9745863
絶滅（EX）,維管束植物,タイワンアオイラン,Acanthephippium striatum,915414,ja,Japan,JP,"Yonekura, K., & Kajita, T. (2003). BG Plants Wamei-Gakumei Index. (http://ylist.info/index.html)",Japanese,Ken-ichi Ueda,2020-06-16T00:43:44Z,https://www.inaturalist.org/taxa/915414,https://www.inaturalist.org/taxa/915414,https://www.inaturalist.org/taxa/915413,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acanthophippium,striatum,"",2019-08-01T14:21:15Z,Acanthophippium striatum,species,""
絶滅（EX）,維管束植物,ツクシサカネラン,Neottia kiusiana,827230,ja,Japan,JP,"Yonekura, K., & Kajita, T. (2003). BG Plants Wamei-Gakumei Index. (http://ylist.info/index.html)",Japanese,Ken-ichi Ueda,2020-06-16T00:49:10Z,https://www.inaturalist.org/taxa/827230,https://www.inaturalist.org/taxa/827230,https://www.inaturalist.org/taxa/62256,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Neottia,kiusiana,"",2019-02-12T16:04:15Z,Neottia kiusiana,species,""
絶滅（EX）,維管束植物,ツシマラン,Odontochilus poilanei,,,,,,,,,,,,,,,,,,,,,,,
絶滅（EX）,維管束植物,ジンヤクラン,Renanthera labrosa,737234,ja,Japan,JP,"Yonekura, K., & Kajita, T. (2003). BG Plants Wamei-Gakumei Index. (http://ylist.info/index.html)",Japanese,Ken-ichi Ueda,2020-06-16T00:41:17Z,https://www.inaturalist.org/taxa/737234,https://www.inaturalist.org/taxa/737234,https://www.inaturalist.org/taxa/428232,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Arachnis,labrosa,"",2019-02-12T08:18:52Z,Arachnis labrosa,species,http://www.catalogueoflife.org/annual-checklist/details/species/id/9711249
絶滅（EX）,維管束植物,ムニンキヌラン,Zeuxine boninensis,,,,,,,,,,,,,,,,,,,,,,,
絶滅（EX）,維管束植物,コウヨウザンカズラ,Lycopodium cunninghamioides,707005,ja,Japan,JP,"",Japanese,Takaaki Hattori,2020-02-29T05:33:51Z,https://www.inaturalist.org/taxa/707005,https://www.inaturalist.org/taxa/707005,https://www.inaturalist.org/taxa/180575,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,Phlegmariurus,cunninghamioides,"",2020-07-28T15:43:37Z,Phlegmariurus cunninghamioides,species,http://eol.org/pages/6078649
絶滅（EX）,維管束植物,タカネハナワラビ,Botrychium boreale,472081,ja,Japan,JP,"Yonekura, K., & Kajita, T. (2003). BG Plants Wamei-Gakumei Index. (http://ylist.info/index.html)",Japanese,Ken-ichi Ueda,2020-06-16T00:45:27Z,https://www.inaturalist.org/taxa/472081,https://www.inaturalist.org/taxa/472081,https://www.inaturalist.org/taxa/55327,Plantae,Tracheophyta,Polypodiopsida,Ophioglossales,Ophioglossaceae,Botrychium,boreale,"",2019-11-17T19:52:12Z,Botrychium boreale,species,http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/7036413
絶滅（EX）,維管束植物,イオウジマハナヤスリ,Ophioglossum parvifolium,1002075,ja,Japan,JP,"Yonekura, K., & Kajita, T. (2003). BG Plants Wamei-Gakumei Index. (http://ylist.info/index.html)",Japanese,Ken-ichi Ueda,2020-06-16T00:09:44Z,https://www.inaturalist.org/taxa/1002075,https://www.inaturalist.org/taxa/1002075,https://www.inaturalist.org/taxa/59890,Plantae,Tracheophyta,Polypodiopsida,Ophioglossales,Ophioglossaceae,Ophioglossum,parvifolium,"",2020-01-11T06:32:12Z,Ophioglossum parvifolium,species,""
絶滅（EX）,維管束植物,オオイワヒメワラビ,Hypolepis tenuifolia,402755,ja,Japan,JP,"Yonekura, K., & Kajita, T. (2003). BG Plants Wamei-Gakumei Index. (http://ylist.info/index.html)",Japanese,Ken-ichi Ueda,2020-06-16T00:17:10Z,https://www.inaturalist.org/taxa/402755,https://www.inaturalist.org/taxa/402755,https://www.inaturalist.org/taxa/142355,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Dennstaedtiaceae,Hypolepis,tenuifolia,"",2019-02-17T03:24:33Z,Hypolepis tenuifolia,species,""
絶滅（EX）,維管束植物,ウスバシダモドキ,Tectaria dissecta,461518,ja,Japan,JP,"Yonekura, K., & Kajita, T. (2003). BG Plants Wamei-Gakumei Index. (http://ylist.info/index.html)",Japanese,Ken-ichi Ueda,2020-06-16T00:13:40Z,https://www.inaturalist.org/taxa/461518,https://www.inaturalist.org/taxa/461518,https://www.inaturalist.org/taxa/142373,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Tectariaceae,Tectaria,dissecta,"",2019-02-18T02:15:36Z,Tectaria dissecta,species,http://www.ubio.org/browser/details.php?namebankID=9184000
絶滅（EX）,維管束植物,ヒトツバノキシノブ,Pyrrosia angustissima,707206,ja,Japan,JP,"Yonekura, K., & Kajita, T. (2003). BG Plants Wamei-Gakumei Index. (http://ylist.info/index.html)",Japanese,Ken-ichi Ueda,2020-06-16T00:58:58Z,https://www.inaturalist.org/taxa/707206,https://www.inaturalist.org/taxa/707206,https://www.inaturalist.org/taxa/142587,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Pyrrosia,angustissima,"",2019-02-17T04:24:06Z,Pyrrosia angustissima,species,http://eol.org/pages/6107652
野生絶滅（EW）,維管束植物,コブシモドキ,Magnolia pseudokobus,143787,ja,Japan,JP,"",Japanese,Takaaki Hattori,2020-02-04T02:28:49Z,https://www.inaturalist.org/taxa/143787,https://www.inaturalist.org/taxa/143787,https://www.inaturalist.org/taxa/82096,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Magnoliaceae,Magnolia,kobus,"",2019-10-24T00:34:23Z,Magnolia kobus,species,http://www.ubio.org/browser/details.php?namebankID=2323021
野生絶滅（EW）,維管束植物,ツクシカイドウ,Malus hupehensis,,,,,,,,,,,,,,,,,,,,,,,
野生絶滅（EW）,維管束植物,リュウキュウベンケイ,Kalanchoe spathulata,1018496,ja,Japan,JP,"",Japanese,Takaaki Hattori,2020-02-27T01:17:53Z,https://www.inaturalist.org/taxa/1018496,https://www.inaturalist.org/taxa/1018496,https://www.inaturalist.org/taxa/59379,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Kalanchoe,spathulata,"",2020-01-22T11:00:28Z,Kalanchoe spathulata,species,https://eol.org/pages/5548115
野生絶滅（EW）,維管束植物,ナルトオウギ,Astragalus sikokianus,,,,,,,,,,,,,,,,,,,,,,,
野生絶滅（EW）,維管束植物,オリヅルスミレ,Viola stoloniflora,,,,,,,,,,,,,,,,,,,,,,,
野生絶滅（EW）,維管束植物,ムジナノカミソリ,Lycoris sanguinea var. koreana,447264,ja,Japan,JP,"Yonekura, K., & Kajita, T. (2003). BG Plants Wamei-Gakumei Index. (http://ylist.info/index.html)",Japanese,Ken-ichi Ueda,2020-06-16T01:09:57Z,https://www.inaturalist.org/taxa/447264,https://www.inaturalist.org/taxa/447264,https://www.inaturalist.org/taxa/447261,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Lycoris,sanguinea,koreana,2019-02-15T08:21:52Z,Lycoris sanguinea koreana,variety,http://www.ubio.org/browser/details.php?namebankID=5883104
野生絶滅（EW）,維管束植物,コシガヤホシクサ,Eriocaulon heleocharioides,141060,ja,Japan,JP,"Yonekura, K., & Kajita, T. (2003). BG Plants Wamei-Gakumei Index. (http://ylist.info/index.html)",Japanese,Ken-ichi Ueda,2020-06-16T00:33:17Z,https://www.inaturalist.org/taxa/141060,https://www.inaturalist.org/taxa/141060,https://www.inaturalist.org/taxa/62373,Plantae,Tracheophyta,Liliopsida,Poales,Eriocaulaceae,Eriocaulon,heleocharioides,"",2019-02-12T20:38:47Z,Eriocaulon heleocharioides,species,http://www.catalogueoflife.org/annual-checklist/2010/details/species/id/7260122
野生絶滅（EW）,維管束植物,キノエササラン,Liparis uchiyamae,,,,,,,,,,,,,,,,,,,,,,,
野生絶滅（EW）,維管束植物,ハイミミガタシダ,Thelypteris aurita,867706,ja,Japan,JP,"Yonekura, K., & Kajita, T. (2003). BG Plants Wamei-Gakumei Index. (http://ylist.info/index.html)",Japanese,Ken-ichi Ueda,2020-06-16T00:56:12Z,https://www.inaturalist.org/taxa/867706,https://www.inaturalist.org/taxa/867706,https://www.inaturalist.org/taxa/142604,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Thelypteridaceae,Pseudophegopteris,aurita,"",2019-02-22T04:22:21Z,Pseudophegopteris aurita,species,https://eol.org/pages/47171467
野生絶滅（EW）,維管束植物,コバヤシカナワラビ,Arachniodes yasu-inouei var. angustipinnula,,,,,,,,,,,,,,,,,,,,,,,
野生絶滅（EW）,維管束植物,シビイタチシダ,Dryopteris shibipedis,,,,,,,,,,,,,,,,,,,,,,,
絶滅危惧IA類（CR）,維管束植物,ミドリアカザ,Chenopodium bryoniifolium,869993,ja,Japan,JP,"Yonekura, K., & Kajita, T. (2003). BG Plants Wamei-Gakumei Index. (http://ylist.info/index.html)",Japanese,Ken-ichi Ueda,2020-06-16T01:08:32Z,https://www.inaturalist.org/taxa/869993,https://www.inaturalist.org/taxa/869993,https://www.inaturalist.org/taxa/48439,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Chenopodium,bryoniifolium,"",2020-07-05T13:31:47Z,Chenopodium bryoniifolium,species,https://eol.org/pages/47128795
絶滅危惧IA類（CR）,維管束植物,イワアカザ,Chenopodium gracilispicum,931781,ja,Japan,JP,"Yonekura, K., & Kajita, T. (2003). BG Plants Wamei-Gakumei Index. (http://ylist.info/index.html)",Japanese,Ken-ichi Ueda,2020-06-16T00:12:17Z,https://www.inaturalist.org/taxa/931781,https://www.inaturalist.org/taxa/931781,https://www.inaturalist.org/taxa/514011,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Chenopodiastrum,gracilispicum,"",2020-07-05T13:35:02Z,Chenopodiastrum gracilispicum,species,""
絶滅危惧IA類（CR）,維管束植物,エゾマメヤナギ,Salix nummularia,168345,ja,Japan,JP,"Yonekura, K., & Kajita, T. (2003). BG Plants Wamei-Gakumei Index. (http://ylist.info/index.html)",Japanese,Ken-ichi Ueda,2020-06-16T00:15:58Z,https://www.inaturalist.org/taxa/168345,https://www.inaturalist.org/taxa/168345,https://www.inaturalist.org/taxa/53453,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Salix,nummularia,"",2020-07-05T13:37:02Z,Salix nummularia,species,http://www.natureserve.org/explorer/servlet/NatureServe?searchName=Salix+nummularia
絶滅危惧IA類（CR）,維管束植物,アポイカンバ,Betula apoiensis,902030,ja,Japan,JP,"",Japanese,Yoshimasa Uchiyama,2020-01-27T18:23:17Z,https://www.inaturalist.org/taxa/902030,https://www.inaturalist.org/taxa/902030,https://www.inaturalist.org/taxa/49156,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Betula,apoiensis,"",2020-07-05T13:51:26Z,Betula apoiensis,species,http://www.catalogueoflife.org/annual-checklist/details/species/id/9734165
絶滅危惧IA類（CR）,維管束植物,サキシマエノキ,Celtis biondii var. insularis,525125,ja,Japan,JP,"Yonekura, K., & Kajita, T. (2003). BG Plants Wamei-Gakumei Index. (http://ylist.info/index.html)",Japanese,Ken-ichi Ueda,2020-06-16T00:32:18Z,https://www.inaturalist.org/taxa/525125,https://www.inaturalist.org/taxa/525125,https://www.inaturalist.org/taxa/54858,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,biondii,"",2020-07-05T13:54:11Z,Celtis biondii,species,""
絶滅危惧IA類（CR）,維管束植物,オオヤマイチジク,Ficus iidaiana,1039502,ja,Japan,JP,"",Japanese,Takaaki Hattori,2020-02-22T11:51:20Z,https://www.inaturalist.org/taxa/1039502,https://www.inaturalist.org/taxa/1039502,https://www.inaturalist.org/taxa/50999,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,iidana,"",2020-02-22T11:51:14Z,Ficus iidana,species,https://eol.org/pages/49905782
絶滅危惧IA類（CR）,維管束植物,オガサワラグワ,Morus boninensis,1090166,ja,Japan,JP,"Yonekura, K., & Kajita, T. (2003). BG Plants Wamei-Gakumei Index. (http://ylist.info/index.html)",Japanese,Ken-ichi Ueda,2020-06-16T00:20:25Z,https://www.inaturalist.org/taxa/1090166,https://www.inaturalist.org/taxa/1090166,https://www.inaturalist.org/taxa/56091,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Morus,boninensis,"",2020-06-10T00:41:41Z,Morus boninensis,species,https://eol.org/pages/52201572
絶滅危惧IA類（CR）,維管束植物,アマミサンショウソウ,Elatostema oshimense,,,,,,,,,,,,,,,,,,,,,,,
絶滅危惧IA類（CR）,維管束植物,ヒメトキホコリ,Elatostema yakushimense,,,,,,,,,,,,,,,,,,,,,,,
絶滅危惧IA類（CR）,維管束植物,ヨナクニトキホコリ,Elatostema yonakuniense,,,,,,,,,,,,,,,,,,,,,,,
絶滅危惧IA類（CR）,維管束植物,トウカテンソウ,Nanocnide pilosa,923699,ja,Japan,JP,"Yonekura, K., & Kajita, T. (2003). BG Plants Wamei-Gakumei Index. (http://ylist.info/index.html)",Japanese,Ken-ichi Ueda,2020-06-16T00:50:55Z,https://www.inaturalist.org/taxa/923699,https://www.inaturalist.org/taxa/923699,https://www.inaturalist.org/taxa/576645,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Nanocnide,lobata,"",2020-02-19T20:04:44Z,Nanocnide lobata,species,""
絶滅危惧IA類（CR）,維管束植物,セキモンウライソウ,Procris boninensis,923669,ja,Japan,JP,"Yonekura, K., & Kajita, T. (2003). BG Plants Wamei-Gakumei Index. (http://ylist.info/index.html)",Japanese,Ken-ichi Ueda,2020-06-16T00:42:38Z,https://www.inaturalist.org/taxa/923669,https://www.inaturalist.org/taxa/923669,https://www.inaturalist.org/taxa/472364,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Procris,boninensis,"",2020-02-19T20:04:38Z,Procris boninensis,species,""
絶滅危惧IA類（CR）,維管束植物,ナンブトラノオ,Bistorta hayachinensis,738974,ja,Japan,JP,"",Japanese,harum.koh,2018-07-08T14:51:42Z,https://www.inaturalist.org/taxa/738974,https://www.inaturalist.org/taxa/738974,https://www.inaturalist.org/taxa/72009,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Bistorta,hayachinensis,"",2019-02-16T09:02:12Z,Bistorta hayachinensis,species,http://eol.org/pages/6161172
絶滅危惧IA類（CR）,維管束植物,ダイトウサクラタデ,Persicaria japonica var. taitoinsularis,,,,,,,,,,,,,,,,,,,,,,,
絶滅危惧IA類（CR）,維管束植物,エゾタカネツメクサ,Minuartia arctica var. arctica,,,,,,,,,,,,,,,,,,,,,,,
絶滅危惧IA類（CR）,維管束植物,チシマツメクサ,Sagina saginoides,78923,ja,Japan,JP,"",Japanese,Takaaki Hattori,2020-02-22T04:21:13Z,https://www.inaturalist.org/taxa/78923,https://www.inaturalist.org/taxa/78923,https://www.inaturalist.org/taxa/55677,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Sagina,saginoides,"",2021-02-22T18:06:47Z,Sagina saginoides,species,""
絶滅危惧IA類（CR）,維管束植物,アポイマンテマ,Silene repens var. apoiensis,,,,,,,,,,,,,,,,,,,,,,,
絶滅危惧IA類（CR）,維管束植物,トカチビランジ,Silene tokachiensis,,,,,,,,,,,,,,,,,,,,,,,
絶滅危惧IA類（CR）,維管束植物,タカネマンテマ,Silene uralensis,168987,ja,Japan,JP,"Yonekura, K., & Kajita, T. (2003). BG Plants Wamei-Gakumei Index. (http://ylist.info/index.html)",Japanese,Ken-ichi Ueda,2020-06-16T00:45:30Z,https://www.inaturalist.org/taxa/168987,https://www.inaturalist.org/taxa/168987,https://www.inaturalist.org/taxa/52195,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene,uralensis,"",2020-06-23T20:37:25Z,Silene uralensis,species,http://www.natureserve.org/explorer/servlet/NatureServe?searchName=Silene+uralensis
絶滅危惧IA類（CR）,維管束植物,カンチヤチハコベ,Stellaria calycantha,79200,ja,Japan,JP,"Yonekura, K., & Kajita, T. (2003). BG Plants Wamei-Gakumei Index. (http://ylist.info/index.html)",Japanese,Ken-ichi Ueda,2020-06-16T00:25:26Z,https://www.inaturalist.org/taxa/79200,https://www.inaturalist.org/taxa/79200,https://www.inaturalist.org/taxa/49389,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Stellaria,calycantha,"",2019-02-16T00:19:25Z,Stellaria calycantha,species,""
絶滅危惧IA類（CR）,維管束植物,オオイワツメクサ,Stellaria nipponica var. yezoensis,,,,,,,,,,,,,,,,,,,,,,,
絶滅危惧IA類（CR）,維管束植物,インドヒモカズラ,Deeringia polysperma,708898,ja,Japan,JP,"",Japanese,Takaaki Hattori,2020-03-31T04:23:07Z,https://www.inaturalist.org/taxa/708898,https://www.inaturalist.org/taxa/708898,https://www.inaturalist.org/taxa/369619,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Deeringia,polysperma,"",2019-02-16T12:28:26Z,Deeringia polysperma,species,http://eol.org/pages/2906276
絶滅危惧IA類（CR）,維管束植物,クロボウモドキ,Polyalthia liukiuensis,702883,ja,Japan,JP,"",Japanese,Takaaki Hattori,2020-02-01T08:29:58Z,https://www.inaturalist.org/taxa/702883,https://www.inaturalist.org/taxa/702883,https://www.inaturalist.org/taxa/184932,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Polyalthia,liukiuensis,"",2018-06-03T04:08:11Z,Polyalthia liukiuensis,species,http://www.catalogueoflife.org/annual-checklist/details/species/id/9679254
絶滅危惧IA類（CR）,維管束植物,イトスナヅル,Cassytha glabella,323804,ja,Japan,JP,"",Japanese,Takaaki Hattori,2020-03-14T07:58:22Z,https://www.inaturalist.org/taxa/323804,https://www.inaturalist.org/taxa/323804,https://www.inaturalist.org/taxa/119899,Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Cassytha,glabella,"",2019-02-16T10:04:42Z,Cassytha glabella,species,http://www.ubio.org/browser/details.php?namebankID=9477185
絶滅危惧IA類（CR）,維管束植物,テングノハナ,Illigera luzonensis,736902,ja,Japan,JP,"",Japanese,Takaaki Hattori,2020-02-02T02:14:23Z,https://www.inaturalist.org/taxa/736902,https://www.inaturalist.org/taxa/736902,https://www.inaturalist.org/taxa/426922,Plantae,Tracheophyta,Magnoliopsida,Laurales,Hernandiaceae,Illigera,luzonensis,"",2019-02-16T17:00:05Z,Illigera luzonensis,species,http://eol.org/pages/5393059
絶滅危惧IA類（CR）,維管束植物,イイデトリカブト,Aconitum iidemontanum,,,,,,,,,,,,,,,,,,,,,,,
絶滅危惧IA類（CR）,維管束植物,コウライブシ,Aconitum jaluense subsp. jaluense,,,,,,,,,,,,,,,,,,,,,,,
絶滅危惧IA類（CR）,維管束植物,イヤリトリカブト,Aconitum japonicum subsp. maritimum var. iyariense,1046321,ja,Japan,JP,"Yonekura, K., & Kajita, T. (2003). BG Plants Wamei-Gakumei Index. (http://ylist.info/index.html)",Japanese,Ken-ichi Ueda,2020-06-16T00:12:07Z,https://www.inaturalist.org/taxa/1046321,https://www.inaturalist.org/taxa/1046321,https://www.inaturalist.org/taxa/564703,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,japonicum,maritimum,2020-03-15T13:19:42Z,Aconitum japonicum maritimum,subspecies,https://eol.org/pages/50416631
絶滅危惧IA類（CR）,維管束植物,キタダケトリカブト,Aconitum kitadakense,,,,,,,,,,,,,,,,,,,,,,,
絶滅危惧IA類（CR）,維管束植物,オンタケブシ,Aconitum metajaponicum,,,,,,,,,,,,,,,,,,,,,,,
絶滅危惧IA類（CR）,維管束植物,オオサワトリカブト,Aconitum senanense subsp. senanense var. isidzukae,,,,,,,,,,,,,,,,,,,,,,,
絶滅危惧IA類（CR）,維管束植物,キリギシソウ,Callianthemum kirigishiense,801637,ja,Japan,JP,"Yonekura, K., & Kajita, T. (2003). BG Plants Wamei-Gakumei Index. (http://ylist.info/index.html)",Japanese,Ken-ichi Ueda,2020-06-16T00:27:41Z,https://www.inaturalist.org/taxa/801637,https://www.inaturalist.org/taxa/801637,https://www.inaturalist.org/taxa/184347,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Callianthemum,kirigishiense,"",2019-02-16T05:41:49Z,Callianthemum kirigishiense,species,""
絶滅危惧IA類（CR）,維管束植物,ヒダカソウ,Callianthemum miyabeanum,904533,ja,Japan,JP,"Yonekura, K., & Kajita, T. (2003). BG Plants Wamei-Gakumei Index. (http://ylist.info/index.html)",Japanese,Ken-ichi Ueda,2020-06-16T00:58:47Z,https://www.inaturalist.org/taxa/904533,https://www.inaturalist.org/taxa/904533,https://www.inaturalist.org/taxa/184347,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Callianthemum,miyabeanum,"",2020-02-19T06:22:59Z,Callianthemum miyabeanum,species,http://ylist.info
絶滅危惧IA類（CR）,維管束植物,コウヤハンショウヅル,Clematis obvallata var. obvallata,,,,,,,,,,,,,,,,,,,,,,,
絶滅危惧IA類（CR）,維管束植物,クモマキンポウゲ,Ranunculus pygmaeus,167751,ja,Japan,JP,"Yonekura, K., & Kajita, T. (2003). BG Plants Wamei-Gakumei Index. (http://ylist.info/index.html)",Japanese,Ken-ichi Ueda,2020-06-16T00:29:02Z,https://www.inaturalist.org/taxa/167751,https://www.inaturalist.org/taxa/167751,https://www.inaturalist.org/taxa/48230,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,pygmaeus,"",2019-08-27T03:11:20Z,Ranunculus pygmaeus,species,http://www.natureserve.org/explorer/servlet/NatureServe?searchName=Ranunculus+pygmaeus
絶滅危惧IA類（CR）,維管束植物,リュウキュウヒキノカサ,Ranunculus ternatus var. lutchuensis,,,,,,,,,,,,,,,,,,,,,,,
